BisBasQ,BisBasResp,ExpEnd,ExpStart,StudyID,TimeEnd,TimeStart,Feedback,population,subject
bisbas-16,2,1.58E+12,1.58E+12,LWPCtufb:,2445183.18,2232334.43,fb,1,7
bisbas-17,1,1.58E+12,1.58E+12,LWPCtufb:,2445183.275,2232334.43,fb,1,7
bisbas-18,1,1.58E+12,1.58E+12,LWPCtufb:,2445183.38,2232334.43,fb,1,7
bisbas-19,2,1.58E+12,1.58E+12,LWPCtufb:,2445183.49,2232334.43,fb,1,7
bisbas-20,1,1.58E+12,1.58E+12,LWPCtufb:,2445183.6,2232334.43,fb,1,7
bisbas-21,2,1.58E+12,1.58E+12,LWPCtufb:,2445183.715,2232334.43,fb,1,7
bisbas-22,2,1.58E+12,1.58E+12,LWPCtufb:,2445183.84,2232334.43,fb,1,7
bisbas-23,1,1.58E+12,1.58E+12,LWPCtufb:,2445183.965,2232334.43,fb,1,7
bisbas-24,2,1.58E+12,1.58E+12,LWPCtufb:,2445184.095,2232334.43,fb,1,7
bisbas-1,2,1.58E+12,1.58E+12,LWPCtufb:,1757144,1536279,fb,1,8
bisbas-2,2,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-3,2,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-4,1,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-5,1,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-6,2,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-7,1,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-8,3,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-9,2,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-10,3,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-11,2,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-12,2,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-13,1,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-14,2,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-15,3,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-16,2,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-17,1,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-18,2,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-19,2,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-20,1,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-21,4,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-22,3,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-23,2,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-24,2,1.58E+12,1.58E+12,LWPCtufb:,1757145,1536279,fb,1,8
bisbas-1,3,1.58E+12,1.58E+12,LWPCtufb:,1838887.03,1621029.735,fb,1,9
bisbas-2,4,1.58E+12,1.58E+12,LWPCtufb:,1838887.175,1621029.735,fb,1,9
bisbas-3,1,1.58E+12,1.58E+12,LWPCtufb:,1838887.18,1621029.735,fb,1,9
bisbas-4,1,1.58E+12,1.58E+12,LWPCtufb:,1838887.19,1621029.735,fb,1,9
bisbas-5,3,1.58E+12,1.58E+12,LWPCtufb:,1838887.215,1621029.735,fb,1,9
bisbas-6,2,1.58E+12,1.58E+12,LWPCtufb:,1838887.22,1621029.735,fb,1,9
bisbas-7,1,1.58E+12,1.58E+12,LWPCtufb:,1838887.23,1621029.735,fb,1,9
bisbas-8,3,1.58E+12,1.58E+12,LWPCtufb:,1838887.235,1621029.735,fb,1,9
bisbas-9,1,1.58E+12,1.58E+12,LWPCtufb:,1838887.245,1621029.735,fb,1,9
bisbas-10,3,1.58E+12,1.58E+12,LWPCtufb:,1838887.26,1621029.735,fb,1,9
bisbas-11,1,1.58E+12,1.58E+12,LWPCtufb:,1838887.265,1621029.735,fb,1,9
bisbas-12,1,1.58E+12,1.58E+12,LWPCtufb:,1838887.275,1621029.735,fb,1,9
bisbas-13,2,1.58E+12,1.58E+12,LWPCtufb:,1838887.285,1621029.735,fb,1,9
bisbas-14,1,1.58E+12,1.58E+12,LWPCtufb:,1838887.3,1621029.735,fb,1,9
bisbas-15,4,1.58E+12,1.58E+12,LWPCtufb:,1838887.31,1621029.735,fb,1,9
bisbas-16,2,1.58E+12,1.58E+12,LWPCtufb:,1838887.325,1621029.735,fb,1,9
bisbas-17,3,1.58E+12,1.58E+12,LWPCtufb:,1838887.335,1621029.735,fb,1,9
bisbas-18,1,1.58E+12,1.58E+12,LWPCtufb:,1838887.35,1621029.735,fb,1,9
bisbas-19,1,1.58E+12,1.58E+12,LWPCtufb:,1838887.37,1621029.735,fb,1,9
bisbas-20,3,1.58E+12,1.58E+12,LWPCtufb:,1838887.38,1621029.735,fb,1,9
bisbas-21,1,1.58E+12,1.58E+12,LWPCtufb:,1838887.395,1621029.735,fb,1,9
bisbas-22,4,1.58E+12,1.58E+12,LWPCtufb:,1838887.415,1621029.735,fb,1,9
bisbas-23,1,1.58E+12,1.58E+12,LWPCtufb:,1838887.43,1621029.735,fb,1,9
bisbas-24,1,1.58E+12,1.58E+12,LWPCtufb:,1838887.445,1621029.735,fb,1,9
bisbas-1,4,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-2,4,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-3,2,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-4,4,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-5,3,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-6,4,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-7,3,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-8,4,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-9,3,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-10,4,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-11,3,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-12,4,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-13,3,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-14,4,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-15,3,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-16,4,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-17,3,1.58E+12,1.58E+12,LWPCtufb:,1865591.5,1628519.5,fb,1,10
bisbas-18,4,1.58E+12,1.58E+12,LWPCtufb:,1865592.5,1628519.5,fb,1,10
bisbas-19,3,1.58E+12,1.58E+12,LWPCtufb:,1865592.5,1628519.5,fb,1,10
bisbas-20,4,1.58E+12,1.58E+12,LWPCtufb:,1865592.5,1628519.5,fb,1,10
bisbas-21,3,1.58E+12,1.58E+12,LWPCtufb:,1865592.5,1628519.5,fb,1,10
bisbas-22,4,1.58E+12,1.58E+12,LWPCtufb:,1865592.5,1628519.5,fb,1,10
bisbas-23,3,1.58E+12,1.58E+12,LWPCtufb:,1865592.5,1628519.5,fb,1,10
bisbas-24,4,1.58E+12,1.58E+12,LWPCtufb:,1865592.5,1628519.5,fb,1,10
bisbas-1,3,1.58E+12,1.58E+12,LWPCtufb:,2898857,2610076,fb,1,11
bisbas-2,4,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-3,2,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-4,1,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-5,2,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-6,2,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-7,1,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-8,2,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-9,2,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-10,1,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-11,2,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-12,1,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-13,3,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-14,2,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-15,2,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-16,3,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-17,1,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-18,1,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-19,1,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-20,2,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-21,2,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-22,1,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-23,2,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-24,3,1.58E+12,1.58E+12,LWPCtufb:,2898858,2610076,fb,1,11
bisbas-1,2,1.58E+12,1.58E+12,LWPCtufb:,3384723,3106509,fb,1,12
bisbas-2,3,1.58E+12,1.58E+12,LWPCtufb:,3384723,3106509,fb,1,12
bisbas-3,2,1.58E+12,1.58E+12,LWPCtufb:,3384723,3106509,fb,1,12
bisbas-4,2,1.58E+12,1.58E+12,LWPCtufb:,3384723,3106509,fb,1,12
bisbas-5,3,1.58E+12,1.58E+12,LWPCtufb:,3384724,3106509,fb,1,12
bisbas-6,1,1.58E+12,1.58E+12,LWPCtufb:,3384724,3106509,fb,1,12
bisbas-7,2,1.58E+12,1.58E+12,LWPCtufb:,3384724,3106509,fb,1,12
bisbas-8,2,1.58E+12,1.58E+12,LWPCtufb:,3384724,3106509,fb,1,12
bisbas-9,1,1.58E+12,1.58E+12,LWPCtufb:,3384724,3106509,fb,1,12
bisbas-10,3,1.58E+12,1.58E+12,LWPCtufb:,3384724,3106509,fb,1,12
bisbas-11,2,1.58E+12,1.58E+12,LWPCtufb:,3384724,3106509,fb,1,12
