data,Feedback,population,question,subject
18,fb,2,Age,128
NHL,fb,2,Ethnicity,128
W,fb,2,Race,128
demos:Demographics:;,fb,2,TypeResp,129
F,fb,2,Gender,129
19,fb,2,Age,129
NHL,fb,2,Ethnicity,129
A,fb,2,Race,129
demos:Demographics:;,fb,2,TypeResp,130
F,fb,2,Gender,130
16,fb,2,Age,130
HL,fb,2,Ethnicity,130
W,fb,2,Race,130
demos:Demographics:;,fb,2,TypeResp,131
F,fb,2,Gender,131
20,fb,2,Age,131
NHL,fb,2,Ethnicity,131
W,fb,2,Race,131
demos:Demographics:;,fb,2,TypeResp,132
F,fb,2,Gender,132
18,fb,2,Age,132
NHL,fb,2,Ethnicity,132
W,fb,2,Race,132
demos:Demographics:;,fb,2,TypeResp,133
F,fb,2,Gender,133
19,fb,2,Age,133
NHL,fb,2,Ethnicity,133
W,fb,2,Race,133
demos:Demographics:;,fb,2,TypeResp,134
M,fb,2,Gender,134
19,fb,2,Age,134
NHL,fb,2,Ethnicity,134
AA,fb,2,Race,134
demos:Demographics:;,fb,2,TypeResp,135
F,fb,2,Gender,135
19,fb,2,Age,135
NHL,fb,2,Ethnicity,135
A,fb,2,Race,135
demos:Demographics:;,fb,2,TypeResp,136
F,fb,2,Gender,136
19,fb,2,Age,136
HL,fb,2,Ethnicity,136
W,fb,2,Race,136
demos:Demographics:;,fb,2,TypeResp,137
F,fb,2,Gender,137
19,fb,2,Age,137
NHL,fb,2,Ethnicity,137
W,fb,2,Race,137
demos:Demographics:;,fb,2,TypeResp,138
M,fb,2,Gender,138
20,fb,2,Age,138
NHL,fb,2,Ethnicity,138
AA,fb,2,Race,138
demos:Demographics:;,fb,2,TypeResp,139
M,fb,2,Gender,139
20,fb,2,Age,139
NHL,fb,2,Ethnicity,139
W,fb,2,Race,139
demos:Demographics:;,fb,2,TypeResp,140
M,fb,2,Gender,140
21,fb,2,Age,140
NHL,fb,2,Ethnicity,140
A,fb,2,Race,140
demos:Demographics:;,fb,2,TypeResp,141
M,fb,2,Gender,141
20,fb,2,Age,141
HL,fb,2,Ethnicity,141
W,fb,2,Race,141
demos:Demographics:;,fb,2,TypeResp,142
F,fb,2,Gender,142
22,fb,2,Age,142
HL,fb,2,Ethnicity,142
W,fb,2,Race,142
demos:Demographics:;,fb,2,TypeResp,143
F,fb,2,Gender,143
19,fb,2,Age,143
NHL,fb,2,Ethnicity,143
A,fb,2,Race,143
demos:Demographics:;,fb,2,TypeResp,144
M,fb,2,Gender,144
19,fb,2,Age,144
NHL,fb,2,Ethnicity,144
AA,fb,2,Race,144
demos:Demographics:;,fb,2,TypeResp,145
F,fb,2,Gender,145
19,fb,2,Age,145
NHL,fb,2,Ethnicity,145
AA,fb,2,Race,145
demos:Demographics:;,fb,2,TypeResp,146
F,fb,2,Gender,146
19,fb,2,Age,146
NHL,fb,2,Ethnicity,146
A,fb,2,Race,146
demos:Demographics:;,fb,2,TypeResp,147
M,fb,2,Gender,147
19,fb,2,Age,147
NHL,fb,2,Ethnicity,147
A,fb,2,Race,147
demos:Demographics:;,fb,2,TypeResp,148
M,fb,2,Gender,148
19,fb,2,Age,148
NHL,fb,2,Ethnicity,148
A,fb,2,Race,148
demos:Demographics:;,fb,2,TypeResp,149
F,fb,2,Gender,149
21,fb,2,Age,149
NHL,fb,2,Ethnicity,149
W,fb,2,Race,149
demos:Demographics:;,fb,2,TypeResp,150
M,fb,2,Gender,150
18,fb,2,Age,150
NHL,fb,2,Ethnicity,150
M,fb,2,Race,150
demos:Demographics:;,fb,2,TypeResp,151
F,fb,2,Gender,151
19,fb,2,Age,151
NHL,fb,2,Ethnicity,151
A,fb,2,Race,151
demos:Demographics:;,fb,2,TypeResp,152
M,fb,2,Gender,152
19,fb,2,Age,152
NHL,fb,2,Ethnicity,152
W,fb,2,Race,152
demos:Demographics:;,fb,2,TypeResp,153
F,fb,2,Gender,153
19,fb,2,Age,153
NHL,fb,2,Ethnicity,153
W,fb,2,Race,153
demos:Demographics:;,fb,2,TypeResp,154
M,fb,2,Gender,154
18,fb,2,Age,154
NHL,fb,2,Ethnicity,154
AA,fb,2,Race,154
demos:Demographics:;,fb,2,TypeResp,155
F,fb,2,Gender,155
18,fb,2,Age,155
NHL,fb,2,Ethnicity,155
W,fb,2,Race,155
demos:Demographics:;,fb,2,TypeResp,156
F,fb,2,Gender,156
18,fb,2,Age,156
NA,fb,2,Ethnicity,156
W,fb,2,Race,156
demos:Demographics:;,fb,2,TypeResp,157
M,fb,2,Gender,157
19,fb,2,Age,157
NHL,fb,2,Ethnicity,157
W,fb,2,Race,157
demos:Demographics:;,fb,2,TypeResp,158
M,fb,2,Gender,158
21,fb,2,Age,158
NHL,fb,2,Ethnicity,158
W,fb,2,Race,158
demos:Demographics:;,fb,2,TypeResp,159
F,fb,2,Gender,159
19,fb,2,Age,159
NHL,fb,2,Ethnicity,159
AA,fb,2,Race,159
demos:Demographics:;,fb,2,TypeResp,160
F,fb,2,Gender,160
19,fb,2,Age,160
NHL,fb,2,Ethnicity,160
A,fb,2,Race,160
demos:Demographics:;,fb,2,TypeResp,161
M,fb,2,Gender,161
19,fb,2,Age,161
NHL,fb,2,Ethnicity,161
W,fb,2,Race,161
demos:Demographics:;,fb,2,TypeResp,162
F,fb,2,Gender,162
21,fb,2,Age,162
NHL,fb,2,Ethnicity,162
W,fb,2,Race,162
demos:Demographics:;,fb,2,TypeResp,163
F,fb,2,Gender,163
18,fb,2,Age,163
NHL,fb,2,Ethnicity,163
W,fb,2,Race,163
demos:Demographics:;,fb,2,TypeResp,164
M,fb,2,Gender,164
18,fb,2,Age,164
NHL,fb,2,Ethnicity,164
A,fb,2,Race,164
demos:Demographics:;,fb,2,TypeResp,165
M,fb,2,Gender,165
19,fb,2,Age,165
NHL,fb,2,Ethnicity,165
W,fb,2,Race,165
demos:Demographics:;,fb,2,TypeResp,166
F,fb,2,Gender,166
19,fb,2,Age,166
HL,fb,2,Ethnicity,166
W,fb,2,Race,166
demos:Demographics:;,fb,2,TypeResp,167
M,fb,2,Gender,167
19,fb,2,Age,167
NHL,fb,2,Ethnicity,167
W,fb,2,Race,167
demos:Demographics:;,fb,2,TypeResp,168
F,fb,2,Gender,168
19,fb,2,Age,168
NHL,fb,2,Ethnicity,168
W,fb,2,Race,168
demos:Demographics:;,fb,2,TypeResp,169
F,fb,2,Gender,169
21,fb,2,Age,169
HL,fb,2,Ethnicity,169
W,fb,2,Race,169
demos:Demographics:;,fb,2,TypeResp,170
F,fb,2,Gender,170
18,fb,2,Age,170
NHL,fb,2,Ethnicity,170
W,fb,2,Race,170
demos:Demographics:;,fb,2,TypeResp,171
M,fb,2,Gender,171
20,fb,2,Age,171
NHL,fb,2,Ethnicity,171
A,fb,2,Race,171
demos:Demographics:;,fb,2,TypeResp,172
